isrc,path,value
GBUM71904158,Application/Playlist/Activity,Defeat
GBUM71904158,Application/Playlist/Activity,Road Trip
GBUM71904158,Application/Playlist/Mood,Nostalgic
GBUM71904158,Application/Playlist/Time,Decade
GBUM71904158,Application/Playlist/Time/Decade,2010s
GBUM71904158,Application/Version,Clean
GBUM71904158,Energy/Emotion,Negative
GBUM71904158,Energy/Emotion/Negative,Melancholic
GBUM71904158,Energy/Emotion/Negative,Pained
GBUM71904158,Energy/Intensity,Medium
GBUM71904158,Energy/Intensity/Medium,Medium Intensity
GBUM71904158,Energy/Sound Color,Balanced
GBUM71904158,Genre,Electronic
GBUM71904158,Genre,Pop
GBUM71904158,Genre/Pop,Electronic Pop
GBUM71904158,Lyrics/Lyric Language/Indo-European,English
GBUM71904158,Lyrics/Lyric Theme,Conflict
GBUM71904158,Lyrics/Lyric Theme,Feelings
GBUM71904158,Lyrics/Lyric Theme,Love
GBUM71904158,Lyrics/Lyric Theme/Conflict,Defeat
GBUM71904158,Lyrics/Lyric Theme/Conflict,Stress
GBUM71904158,Lyrics/Lyric Theme/Conflict/Stress,Difficult
GBUM71904158,Lyrics/Lyric Theme/Feelings,Nostalgia
GBUM71904158,Lyrics/Lyric Theme/Love,Breakup
GBUM71904158,Lyrics/Lyric Theme/Love,Pain
GBUM71904158,Lyrics/Lyric Theme/Love/Breakup,Losing You
GBUM71904158,Lyrics/Lyric Theme/Love/Pain,Heartache
GBUM71904158,Origin/Applicable Dates/Originally Released Date,2019
GBUM71904158,Origin/Relevant Location,Europe
GBUM71904158,Origin/Relevant Location/Europe,United Kingdom
GBUM71904158,Performance/Instrument,Percussion
GBUM71904158,Performance/Instrument,Drum Machine
GBUM71904158,Performance/Instrument,Guitar
GBUM71904158,Performance/Instrument,Bass
GBUM71904158,Performance/Instrument,Synthesizer
GBUM71904158,Performance/Instrument/Bass,Electric Bass Guitar
GBUM71904158,Performance/Instrument/Guitar,Electric Guitar
GBUM71904158,Performance/Instrument/Guitar,Acoustic Guitar
GBUM71904158,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Bass
GBUM71904158,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Lead
GBUM71904158,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Pad
GBUM71904158,Performance/Voice/Lead Vocals,Female
GBUM71904158,Performance/Voice/Vocal Range,High Vocal Range
USUM71920250,Anatomy/Arrangement,Voice & Music
USUM71920250,Anatomy/Harmony/Mode,Major
USUM71920250,Anatomy/Harmony/Root,Ab/G#
USUM71920250,Anatomy/Production,Reverberant
USUM71920250,Anatomy/Production,Loop-Based
USUM71920250,Anatomy/Rhythm & Time/BPM,123.08
USUM71920250,Anatomy/Rhythm & Time/Meter,Simple
USUM71920250,Anatomy/Rhythm & Time/Tempo,Persistent Pulse
USUM71920250,Anatomy/Rhythm & Time/Tempo/Persistent Pulse,Steady
USUM71920250,Anatomy/Rhythm & Time/Tempo/Speed,Medium Fast
USUM71920250,Anatomy/Structure/Form,Song Form
USUM71920250,Application/Function,Recognizable Music
USUM71920250,Application/Media/Media Evocation,Comedy
USUM71920250,Application/Media/Media Evocation,Romantic Comedy
USUM71920250,Application/Playlist,Activity
USUM71920250,Application/Playlist,Mood
USUM71920250,Application/Playlist,Time
USUM71920250,Application/Playlist/Activity,Dancing
USUM71920250,Application/Playlist/Activity,Party
USUM71920250,Application/Playlist/Activity,Dating
USUM71920250,Application/Playlist/Activity,Working Out
USUM71920250,Application/Playlist/Mood,Confident
USUM71920250,Application/Playlist/Mood,Feeling Good
USUM71920250,Application/Playlist/Mood,Free
USUM71920250,Application/Playlist/Time,Decade
USUM71920250,Application/Playlist/Time/Decade,2010s
USUM71920250,Application/Version,Clean
USUM71920250,Energy/Emotion,Positive
USUM71920250,Energy/Emotion/Positive,Uplifting
USUM71920250,Energy/Emotion/Positive,Contented
USUM71920250,Energy/Intensity,Medium
USUM71920250,Energy/Intensity/Medium,Medium-High Intensity
USUM71920250,Energy/Sound Color,Balanced
USUM71920250,Genre,Electronic
USUM71920250,Genre,Pop
USUM71920250,Genre/Pop,Electronic Pop
USUM71920250,Lyrics/Lyric Language/Indo-European,English
USUM71920250,Lyrics/Lyric Mood,Confident
USUM71920250,Lyrics/Lyric Mood,Optimistic
USUM71920250,Lyrics/Lyric Theme,Consciousness
USUM71920250,Lyrics/Lyric Theme,Feelings
USUM71920250,Lyrics/Lyric Theme,Love
USUM71920250,Lyrics/Lyric Theme/Consciousness,Challenge
USUM71920250,Lyrics/Lyric Theme/Feelings,Confidence
USUM71920250,Lyrics/Lyric Theme/Feelings/Confidence,Assurance
USUM71920250,Lyrics/Lyric Theme/Love,Commitment
USUM71920250,Lyrics/Lyric Theme/Love/Commitment,Back Together
USUM71920250,Lyrics/Lyric Theme/Love/Commitment,Holding On
USUM71920250,Origin/Applicable Dates/Originally Released Date,2019
USUM71920250,Origin/Relevant Location,North America
USUM71920250,Origin/Relevant Location/North America,United States
USUM71920250,Performance/Instrument,Percussion
USUM71920250,Performance/Instrument,Drum Machine
USUM71920250,Performance/Instrument,Keyboard
USUM71920250,Performance/Instrument,Synthesizer
USUM71920250,Performance/Instrument/Keyboard,Electric Piano
USUM71920250,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Pad
USUM71920250,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Lead
USUM71920250,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Bass
USUM71920250,Performance/Voice/Lead Vocals,Female
USUM71920250,Performance/Voice/Vocal Range,High Vocal Range
GBUM71905142,Anatomy/Arrangement,Voice & Music
GBUM71905142,Anatomy/Harmony/Mode,Major
GBUM71905142,Anatomy/Harmony/Root,D
GBUM71905142,Anatomy/Rhythm & Time/Beat Placement,On The Beat
GBUM71905142,Anatomy/Rhythm & Time/BPM,166
GBUM71905142,Anatomy/Rhythm & Time/Meter,Simple
GBUM71905142,Anatomy/Rhythm & Time/Meter/Simple,4
GBUM71905142,Anatomy/Rhythm & Time/Rhythmic Feel,Breakbeat Feel
GBUM71905142,Anatomy/Rhythm & Time/Rhythmic Feel,Groovy Feel
GBUM71905142,Anatomy/Rhythm & Time/Rhythmic Feel,Simple Feel
GBUM71905142,Anatomy/Rhythm & Time/Tempo,Persistent Pulse
GBUM71905142,Anatomy/Rhythm & Time/Tempo/Speed,Medium Fast
GBUM71905142,Anatomy/Structure/Dynamic Shape,Steady
GBUM71905142,Anatomy/Structure/Form,Song Form
GBUM71905142,Anatomy/Structure/Structural Complexity,Simple Structure
GBUM71905142,Application/Playlist,Mood
GBUM71905142,Application/Playlist,Time
GBUM71905142,Application/Playlist,Activity
GBUM71905142,Application/Playlist/Activity,Dancing
GBUM71905142,Application/Playlist/Mood,Anticipation
GBUM71905142,Application/Playlist/Mood,Energized
GBUM71905142,Application/Playlist/Mood,Free
GBUM71905142,Application/Playlist/Time,Decade
GBUM71905142,Application/Playlist/Time/Decade,2010s
GBUM71905142,Application/Version,Studio Version
GBUM71905142,Application/Version,Original
GBUM71905142,Energy/Emotion,Positive
GBUM71905142,Energy/Emotion/Positive,Exciting
GBUM71905142,Energy/Intensity,Medium
GBUM71905142,Energy/Intensity/Medium,Medium-High Intensity
GBUM71905142,Energy/Sound Color,Balanced
GBUM71905142,Energy/Sound Color,Crisp
GBUM71905142,Genre,Pop
GBUM71905142,Genre/Pop,Alternative Pop
GBUM71905142,Lyrics/Lyric Language/Indo-European,English
GBUM71905142,Lyrics/Lyric Mood,Pessimistic
GBUM71905142,Lyrics/Lyric Technique,Repetition
GBUM71905142,Lyrics/Lyric Theme,Feelings
