isrc,path,value
USHR11435914,Lyrics/Lyric Theme,Spiritual
USHR11435914,Lyrics/Lyric Theme/Body Parts,Eyes
USHR11435914,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Lead
USWD11992478,Application/Playlist/Time,Decade
USWD11992478,Lyrics/Lyric Theme/Family,Family Member
USWD11992478,Lyrics/Lyric Theme/Motion,Action
USWD11992478,Performance/Ensemble/Ensemble Configuration,Pop Band
USWD11992478,Performance/Instrument/Bass,Upright Bass
USWD11992478,Performance/Instrument/Instrument Effect,Lo-Fi
USWD11992478,Performance/Voice/Lead Vocals,Male
USHR11334762,Anatomy/Arrangement,Voice & Music
USHR11334762,Genre/R&B/Contemporary R&B,Modern R&B
USHR11334762,Performance/Ensemble/Ensemble Section/Wind Section,No Winds
USHR11334762,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Pad
USHR11637258,Anatomy/Harmony/Mode,Major
USHR11637258,Anatomy/Rhythm & Time/Beat Placement,On The Beat
USHR11637258,Energy/Intensity,Medium
USHR11637258,Lyrics/Lyric Theme/Love/Pain,Farewell
USHR11637258,Performance/Instrument,Synthesizer
USWD10935875,Energy/Emotion,Positive
USHR11737936,Anatomy/Structure/Dynamic Shape,Dynamic
USHR11737936,Performance/Ensemble/Ensemble Section/Choir,No Choir
USHR11737936,Performance/Ensemble/Ensemble Section/Percussion,Has Percussion
USHR11738188,Energy/Emotion/Negative,Angry
USHR11738188,Performance/Ensemble/Ensemble Section,Wind Section
USHR11738188,Performance/Instrument,Drum Set
USHR11738188,Performance/Instrument,Percussion
USWD11569822,Application/Playlist/Theme,Soundtrack
USWD11569822,Energy/Emotion/Attitude,Dreamy
USHR11738188,Energy/Sound Color,Dark
USHR11738188,Genre/Rock/Alternative Rock,Post Grunge
USHR11738188,Performance/Voice/Lead Vocals,Male
USWD10935875,Lyrics/Lyric Theme/Feelings/Gratitude,Understanding
USWD10935875,Origin/Applicable Dates/Originally Released Date,3/24/09
USWD10935875,Performance/Ensemble/Ensemble Section/String Section,Has Strings
USWD10320942,Application/Playlist,Theme
USWD10320942,Origin/Relevant Location,North America
USWD10320942,Performance/Ensemble/Ensemble Section/Percussion,Has Percussion
USHR11838412,Anatomy/Harmony/Mode,Major
