Universal/Island
Custom  Premium  (PR)
Global-e
GTRL
A&M
Island  Apparel
Geffen*
Polystar
Sugar
Hollywood  Records
RAL  (Rush  Associated  Label)
Emarcy
Interscope
Geffen
DreamWorks  Nashville
Eleven:  A  Music  Company
Universal  (MT)
Island  Def  Jam
Lost  Highway  Records
A&M  (UC)
Lyric  Street
Nothing
Int'l  Latin  America
Verve
Go!
Decca/London
Decca  Crossover
Decca  Soundtracks
Roc-A-Fella
DreamWorks
Fonovisa
Sweden  Music  II
SRC  Records
Universal/Island  Def  Jam
ULM
Top  Notch
UMSM
Capitol
Mammoth
The  Neptunes
Universal  Special  Projects
Cinepoly
Go  East
Virgin
Comydor
kubamusic
Concord  Records
Body  Head  Entertainment/Universal
FlowMusic
Fantasy  Records
All  Star
Will  I  Am  /  A&M
Fabolous  /  Desert  Storm
Universal  Records/Tuff  Gong  Records
Zone  4  Inc/Interscope
Casablanca  Records/Island  UK
I.G.  Records,  Inc./Universal  Records
Interscope  Records*
Rick  Springfield
Hear  Music
TF  Records/Motown  Records
Suretone  Geffen
Streamline  Records  /  Interscope  Records
Interscope  Paradiso
Castle
Streamline/Interscope
Grand  Hustle/Interscope
Lava  Music/Republic  Records
Jadyn  Maria/Universal  Records
Bases  Loaded/Republic  Records
Downtown  Records/Republic  Records
Bad  Boy  /  Interscope
Ringo  Starr
Show  Dog  Universal  Music
Flight  Charmandising
Kings  of  LA  /  Red  One  /  Interscope
Red  Entertainment  /  IDJ
Island  Australia
Mercury  Australia
Beats
Aftermath
Cash  Money  Records/Motown  Records
D2C  Third  Party
Music  Line  Entertainment  LLC  /  IDJ
Ruff  Ryders  /  IDJ
Epitaph  Records/DGC/Interscope
Motown/Island  Def  Jam
Deutsche  Grammophon  (DG)
Wax  Records
EMI
Capitol  Records  (CAP)
Calderstone
Virgin  Music  (JPN)
Motown  (Capitol)
ATO  Records  -  My  Morning  Jacket
BMX
UME  Sanctuary  (Divested)
MCA
The  Band  Perry
CM/Republic
Spoken  Word
Celtic  Heartbeat
PSM
Rebound
ABKCO
Decca  US  (Classics)
INACTIVE
Rounder
Family  Recordings
UM3
